Store Code,Mall/HS,Business Name,Zone,Zone New,City,State,Comment Date,Comment Date_NEW,Month_No.,Month,Quarter,Quarter,FY,Customer Response,Customer Rating,Sentiment,Response_Type
KRQ,High-Street,Crocs,West Zone,West,Mumbai,Maharashtra,10-04-2024 07:38,10-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,BEWARE: (this review is for online shoppers from their website) Return process is nightmare.. absolutely zero support from customer service.. toll free number is just for namesake.. beware shopping from their website.. if you sure about your size & style then only book the order because you won't get option for exchange or return..,1,NEGATIVE,In-Store Experience
NTP,Mall,Metro Shoes,West Zone,West,Nagpur,Maharashtra,10-04-2024 11:00,10-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"3rd class
Inke employees ek ache brand ki value kam kar rahe staff ka behaviour like Chhappri .sare ke sare staff same to same.inko pata hi nai ki kaha kaam kar rahe inka behaviour like Palika bazaar Delhi totally chapprii.",1,NEGATIVE,In-Store Experience
MDY,High-Street,Metro Shoes,South Zone,South,Chennai,Tamil Nadu,10-04-2024 15:31,10-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,The staff at present looks well trained and took a long time to address the customers. It took more than 15 mins just to insert extra holes in the belt. I asked to put two additional holes and both were of different sizes - One big and one small. Poor service.,1,NEGATIVE,In-Store Experience
KNQ,High-Street,Crocs,South Zone,South,Kannur,Kerala,11-04-2024 09:49,11-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"unexpectedly Crocs quality not good now
i have been using lite, bought at Rs. 5999 from Kannur outlet on july 2023
its cracked and they refused to replace or repair",1,NEGATIVE,Product Quality
PIM,High-Street,Mochi Shoes,North Zone,North,Panipat,Haryana,11-04-2024 13:49,11-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"5/5- variety (Wide variety of Mens and Women Footwear and Accessories)
5/5 - Staff (Detailed Knowledge and Friendly Staff)
5/5-Store Ambiance (Well organised and Well Lighted)
2/5- Other Amenities (Small Parking space)

A must visit store for formal and casual footwear as well as they also deals in Crocs and Skechers Footwear.
They also have wide variety of Ladies bags and Belts.",5,POSITIVE,In-Store Experience
BJQ,High-Street,Crocs,South Zone,South,Bangaluru,Karnataka,11-04-2024 13:55,11-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Worst experience, while we choosing product they are hurrying us and just we select one product still we were confused, they started mocking and attitude was very rude. I had wrost experience. I’m not recommending anyone, order online guys. These staffs are very unprofessional.",1,NEGATIVE,In-Store Experience
HYD,High-Street,Metro Shoes,South Zone,South,Hyderabad,Telangana,11-04-2024 15:43,11-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Wide range shoes sandals chappal are avialble.Bit busy in the evening.Exchamge timings are very limited.choose your goods carefully,4,POSITIVE,Product Assortment
MDT,High-Street,Metro Shoes,South Zone,South,Chennai,Tamil Nadu,11-04-2024 15:47,11-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Excellent.  Your shop is  so good bcz your workers are so patient and understanding  keep it up,5,POSITIVE,In-Store Experience
KOQ,High-Street,Crocs,South Zone,South,Kottayam,Kerala,11-04-2024 16:34,11-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Staffs are awesome.
Especially Mr. Reji. He helped me for getting the model I needed. He eased up the process.",5,POSITIVE,In-Store Experience
AAS,Mall,Metro Shoes,West Zone,West,Ahmedabad,Gujarat,11-04-2024 17:13,11-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"There are around 1000stores of metro in India, but they don’t have water bottles for their customers, what a shame…!",1,NEGATIVE,In-Store Experience
HFM,Mall,Mochi Shoes,South Zone,South,Hyderabad,Telangana,11-04-2024 18:02,11-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Not  response any staff customer service is very bed I have all ready purchase in mochi barand  but customer service is very bad,1,NEGATIVE,In-Store Experience
ABD,High-Street,Metro Shoes,West Zone,West,Ahmedabad,Gujarat,11-04-2024 19:02,11-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Customer services are not proper at all....they all were shouting for customer handling at each other....and arguing and shouting with and at each other....overall experience was not good at all....,1,NEGATIVE,In-Store Experience
